bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,48,-1,56144
4,1,16,16,2,48,-1,56066
4,1,16,16,4,48,-1,55852
4,1,16,16,8,48,-1,56359
3,1,16,16,5,48,-1,2.14748e+09
2,1,16,16,1,48,-1,55950
2,1,16,16,2,48,-1,56290
2,1,16,16,4,48,-1,55995
2,1,16,16,8,48,-1,56355
4,1,16,16,1,48,64,64958
4,1,16,16,2,48,64,63828
4,1,16,16,4,48,64,64040
4,1,16,16,8,48,64,65151
3,1,16,16,5,48,64,64739
2,1,16,16,1,48,64,63764
2,1,16,16,2,48,64,66006
2,1,16,16,4,48,64,63779
2,1,16,16,8,48,64,63777
4,1,16,32,1,48,-1,41161
4,1,16,32,2,48,-1,40616
4,1,16,32,4,48,-1,41822
4,1,16,32,8,48,-1,42202
3,1,16,32,5,48,-1,2.14748e+09
2,1,16,32,1,48,-1,40174
2,1,16,32,2,48,-1,41471
2,1,16,32,4,48,-1,40440
2,1,16,32,8,48,-1,40595
4,1,16,32,1,48,64,46546
4,1,16,32,2,48,64,45966
4,1,16,32,4,48,64,45998
4,1,16,32,8,48,64,47294
3,1,16,32,5,48,64,47376
2,1,16,32,1,48,64,46167
2,1,16,32,2,48,64,45390
2,1,16,32,4,48,64,46035
2,1,16,32,8,48,64,48080
